"unique_id"	"wuzhou"	"num"	"Book_ID"	"Section_ID"	"book"	"chapter"	"page"	"dy"	"entry_addr"	"entry_time"	"entry_type"	"hao"	"biog_addr"	"kin"	"post_office"	"reign"	"nonsense"	"nonsense_1"	"office"	"altname"	"name_lg"	"post_addr"	"post_time"	"post_time_west_wrong"	"post_time_west"	"multiple_postings"	"apointment_type"	"prev_office"	"source"	"zi"	"other"	"full_text"	"name_simp"	"joint"	"name_zi_jiguan"	"flag"
"11"	"4395_1440"	NA	1440	253	4395	"溫州府志"	"職官"	877	"明"	NA	NA	"進士"	NA	"南昌"	NA	NA	NA	"人"	NA	"知縣"	NA	"伍士望"	"永嘉縣"	"隆慶"	NA	"1567 - 1572"	"N"	NA	NA	NA	NA	"       "	"<post_address><永嘉縣></post_address><dy><明></dy><office><知縣></office><person>伍士望</person>○<jiguan>南昌</jiguan><null>人</null>○<entry_way>進士</entry_way>○○○○"	"五士望"	"伍士望_南昌"	"伍士望 南昌"	TRUE
"12"	"4395_1449"	NA	1449	253	4395	"溫州府志"	"職官"	878	"明"	NA	NA	"進士"	NA	"武進"	NA	NA	NA	"人"	NA	"知縣"	NA	"莊廷臣"	"永嘉縣"	"萬歷"	NA	"1573 - 1620"	"N"	NA	NA	NA	NA	"       "	"<post_address><永嘉縣></post_address><dy><明></dy><office><知縣></office><person>莊廷臣</person>○<jiguan>武進</jiguan><null>人</null>○<entry_way>進士</entry_way>○○○○○"	"庄廷臣"	"莊廷臣_武進"	"莊廷臣 武進"	TRUE
"13"	"4395_1735"	NA	1735	253	4395	"溫州府志"	"職官"	895	"國朝"	NA	NA	NA	NA	"大興"	NA	NA	NA	"人"	NA	"知縣"	NA	"楊吉祥"	"永嘉縣"	"康熙四十六年"	NA	"1707"	"N"	NA	NA	NA	NA	"      例監 任"	"<post_address><永嘉縣></post_address><dy><國朝></dy><office><知縣></office><person>楊吉祥</person>○○<jiguan>大興</jiguan><null>人</null>例監○<post_time>四十六年</post_time>任○○○○"	"杨吉祥"	"楊吉祥_大興"	"楊吉祥 大興"	TRUE
"14"	"4395_1982"	NA	1982	253	4395	"溫州府志"	"職官"	910	"明"	NA	NA	"舉人"	NA	"龍溪"	NA	NA	NA	"人"	NA	"知縣"	NA	"鄭復"	"樂清縣"	NA	NA	NA	NA	NA	NA	NA	NA	"       "	"<post_address><樂清縣></post_address><dy><明></dy><office><知縣></office><person>鄭○復</person>○○<jiguan>龍溪</jiguan><null>人</null>○<entry_way>舉人</entry_way>○○○○"	"郑复"	"鄭復_龍溪"	"鄭復 龍溪"	TRUE
"15"	"4395_2238"	NA	2238	253	4395	"溫州府志"	"職官"	926	"國朝"	NA	NA	"舉人"	NA	"江都"	NA	NA	NA	"人"	NA	"知縣"	NA	"徐化民"	"樂清縣"	"康熙二十一年"	NA	"1682"	"N"	"任"	NA	NA	NA	"         "	"<post_address><樂清縣></post_address><dy><國朝></dy><office><知縣></office><person>徐化民</person>○○<jiguan>江都</jiguan><null>人</null><entry_way>舉人</entry_way><post_time>康○熙二十一年</post_time><post_type>任</post_type>○○"	"徐化民"	"徐化民_江都"	"徐化民 江都"	TRUE
"16"	"4395_2573"	NA	2573	253	4395	"溫州府志"	"職官"	946	"明"	NA	NA	"進士"	NA	"豐城"	NA	NA	NA	"人"	NA	"知縣"	NA	"李逢"	"瑞安縣"	"嘉靖"	NA	"1522 - 1566"	"N"	NA	"給事中"	NA	NA	"       以 謫任"	"<post_address><瑞安縣></post_address><dy><明></dy><office><知縣></office><person>李○逢</person>○○<jiguan>豐城</jiguan><null>人</null><entry_way>進士</entry_way>以○<prev_office>給事中</prev_office>謫任○○○○"	"李逢"	"李逢_豐城"	"李逢 豐城"	TRUE
"17"	"4395_2587"	NA	2587	253	4395	"溫州府志"	"職官"	947	"明"	NA	NA	"舉人"	NA	"東莞"	NA	NA	NA	"人"	NA	"知縣"	NA	"歐大成"	"瑞安縣"	"萬歷"	NA	"1573 - 1620"	"N"	NA	NA	NA	NA	"       "	"<post_address><瑞安縣></post_address><dy><明></dy><office><知縣></office><person>歐大成</person>○<jiguan>東莞</jiguan><null>人</null>○<entry_way>舉人</entry_way>○○○○"	"欧大成"	"歐大成_東莞"	"歐大成 東莞"	TRUE
"18"	"4395_2588"	NA	2588	253	4395	"溫州府志"	"職官"	947	"明"	NA	NA	"舉人"	NA	"晉江"	NA	NA	NA	"人"	NA	"知縣"	NA	"傅道唯"	"瑞安縣"	"萬歷"	NA	"1573 - 1620"	"N"	NA	NA	NA	NA	"       "	"<post_address><瑞安縣></post_address><dy><明></dy><office><知縣></office><person>傅道唯</person>○○<jiguan>晉江</jiguan><null>人</null>○<entry_way>舉人</entry_way>○○○○○"	"傅道唯"	"傅道唯_晉江"	"傅道唯 晉江"	TRUE
"19"	"4395_3081"	NA	3081	253	4395	"溫州府志"	"職官"	977	"明"	NA	NA	NA	NA	"泗州"	NA	NA	NA	NA	NA	"知縣"	NA	"王友諒"	"平陽縣"	NA	NA	NA	NA	NA	NA	NA	NA	"     人"	"<post_address><平陽縣></post_address><dy><明></dy><office><知縣></office><person>王友諒</person>○○<jiguan>泗州</jiguan>○人○○○○"	"王友谅"	"王友諒_泗州"	"王友諒 泗州"	TRUE

